Time,altitude via coords,altitude via ecc ano,altitude via true ano
132,539892.882048,539892.882048,539892.882048
133,539881.700671,539881.700671,539881.700671
134,539870.551822,539870.551822,539870.551822
135,539859.435515,539859.435515,539859.435515
136,539848.351764,539848.351764,539848.351764
137,539837.300581,539837.300581,539837.300581
138,539826.281982,539826.281982,539826.281982
139,539815.295978,539815.295978,539815.295978
140,539804.342583,539804.342583,539804.342583
141,539793.421812,539793.421812,539793.421812
142,539782.533676,539782.533676,539782.533676
143,539771.678190,539771.678190,539771.678190
144,539760.855367,539760.855367,539760.855367
145,539750.065219,539750.065219,539750.065219
146,539739.307761,539739.307761,539739.307761
147,539728.583005,539728.583005,539728.583005
148,539717.890964,539717.890964,539717.890964
149,539707.231652,539707.231652,539707.231652
150,539696.605081,539696.605081,539696.605081
151,539686.011265,539686.011265,539686.011265
152,539675.450216,539675.450216,539675.450216
153,539664.921947,539664.921947,539664.921947
154,539654.426471,539654.426471,539654.426471
155,539643.963802,539643.963802,539643.963802
156,539633.533951,539633.533951,539633.533951
157,539623.136932,539623.136932,539623.136932
158,539612.772757,539612.772757,539612.772757
159,539602.441438,539602.441438,539602.441438
160,539592.142990,539592.142990,539592.142990
161,539581.877423,539581.877423,539581.877423
162,539571.644751,539571.644751,539571.644751
163,539561.444986,539561.444986,539561.444986
164,539551.278141,539551.278141,539551.278141
165,539541.144228,539541.144228,539541.144228
166,539531.043259,539531.043259,539531.043259
167,539520.975247,539520.975247,539520.975247
168,539510.940204,539510.940204,539510.940204
169,539500.938143,539500.938143,539500.938143
170,539490.969075,539490.969075,539490.969075
171,539481.033012,539481.033012,539481.033012
172,539471.129968,539471.129968,539471.129968
173,539461.259954,539461.259954,539461.259954
174,539451.422981,539451.422981,539451.422981
175,539441.619063,539441.619063,539441.619063
176,539431.848211,539431.848211,539431.848211
177,539422.110436,539422.110436,539422.110436
178,539412.405752,539412.405752,539412.405752
179,539402.734169,539402.734169,539402.734169
180,539393.095700,539393.095700,539393.095700
181,539383.490357,539383.490357,539383.490357
182,539373.918150,539373.918150,539373.918150
183,539364.379093,539364.379093,539364.379093
184,539354.873195,539354.873195,539354.873195
185,539345.400470,539345.400470,539345.400470
186,539335.960929,539335.960929,539335.960929
187,539326.554582,539326.554582,539326.554582
188,539317.181443,539317.181443,539317.181443
189,539307.841521,539307.841521,539307.841521
190,539298.534829,539298.534829,539298.534829
191,539289.261378,539289.261378,539289.261378
192,539280.021179,539280.021179,539280.021179
193,539270.814244,539270.814244,539270.814244
194,539261.640584,539261.640584,539261.640584
195,539252.500210,539252.500210,539252.500210
196,539243.393133,539243.393133,539243.393133
197,539234.319364,539234.319364,539234.319364
198,539225.278915,539225.278915,539225.278915
199,539216.271796,539216.271796,539216.271796
200,539207.298019,539207.298019,539207.298019
201,539198.357594,539198.357594,539198.357594
202,539189.450533,539189.450533,539189.450533
203,539180.576846,539180.576846,539180.576846
204,539171.736544,539171.736544,539171.736544
205,539162.929638,539162.929638,539162.929638
206,539154.156139,539154.156139,539154.156139
207,539145.416057,539145.416057,539145.416057
208,539136.709403,539136.709403,539136.709403
209,539128.036189,539128.036189,539128.036189
210,539119.396423,539119.396423,539119.396423
211,539110.790117,539110.790117,539110.790117
212,539102.217282,539102.217282,539102.217282
213,539093.677928,539093.677928,539093.677928
214,539085.172065,539085.172065,539085.172065
215,539076.699704,539076.699704,539076.699704
216,539068.260855,539068.260855,539068.260855
217,539059.855529,539059.855529,539059.855529
218,539051.483735,539051.483735,539051.483735
219,539043.145485,539043.145485,539043.145485
220,539034.840787,539034.840787,539034.840787
221,539026.569653,539026.569653,539026.569653
222,539018.332092,539018.332092,539018.332092
223,539010.128115,539010.128115,539010.128115
224,539001.957731,539001.957731,539001.957731
225,538993.820951,538993.820951,538993.820951
226,538985.717784,538985.717784,538985.717784
227,538977.648241,538977.648241,538977.648241
228,538969.612330,538969.612330,538969.612330
229,538961.610063,538961.610063,538961.610063
230,538953.641449,538953.641449,538953.641449
231,538945.706497,538945.706497,538945.706497
232,538937.805218,538937.805218,538937.805218
233,538929.937621,538929.937621,538929.937621
234,538922.103715,538922.103715,538922.103715
235,538914.303510,538914.303510,538914.303510
236,538906.537016,538906.537016,538906.537016
237,538898.804243,538898.804243,538898.804243
238,538891.105199,538891.105199,538891.105198
239,538883.439893,538883.439893,538883.439893
240,538875.808337,538875.808337,538875.808337
241,538868.210538,538868.210538,538868.210538
242,538860.646506,538860.646506,538860.646506
243,538853.116251,538853.116251,538853.116251
244,538845.619781,538845.619781,538845.619781
245,538838.157106,538838.157106,538838.157106
246,538830.728234,538830.728234,538830.728234
247,538823.333176,538823.333176,538823.333176
248,538815.971939,538815.971939,538815.971939
249,538808.644534,538808.644534,538808.644534
250,538801.350968,538801.350968,538801.350968
251,538794.091251,538794.091251,538794.091251
252,538786.865392,538786.865392,538786.865392
253,538779.673399,538779.673399,538779.673399
254,538772.515282,538772.515282,538772.515282
255,538765.391049,538765.391049,538765.391049
256,538758.300708,538758.300708,538758.300708
257,538751.244269,538751.244269,538751.244269
258,538744.221740,538744.221740,538744.221740
259,538737.233130,538737.233130,538737.233130
260,538730.278447,538730.278447,538730.278447
261,538723.357700,538723.357700,538723.357700
262,538716.470897,538716.470897,538716.470897
263,538709.618046,538709.618046,538709.618046
264,538702.799157,538702.799157,538702.799157
265,538696.014237,538696.014237,538696.014237
266,538689.263295,538689.263295,538689.263295
267,538682.546338,538682.546338,538682.546338
268,538675.863376,538675.863376,538675.863376
269,538669.214416,538669.214416,538669.214416
