Time,altitude via 2D coords,altitude via 3D coords,altitude via ecc ano,altitude via true ano
56,423481.587963,421544.170961,423481.587963,423481.587963
57,423486.348009,421545.735963,423486.348009,423486.348009
58,423491.109150,421547.299431,423491.109150,423491.109150
59,423495.871380,421548.861358,423495.871380,423495.871380
60,423500.634694,421550.421739,423500.634694,423500.634694
61,423505.399086,421551.980567,423505.399086,423505.399086
62,423510.164548,421553.537836,423510.164548,423510.164548
63,423514.931076,421555.093541,423514.931076,423514.931076
64,423519.698664,421556.647675,423519.698664,423519.698664
65,423524.467304,421558.200232,423524.467304,423524.467304
66,423529.236992,421559.751207,423529.236992,423529.236992
67,423534.007721,421561.300592,423534.007721,423534.007721
68,423538.779484,421562.848382,423538.779484,423538.779484
69,423543.552277,421564.394572,423543.552277,423543.552277
70,423548.326092,421565.939154,423548.326092,423548.326092
71,423553.100925,421567.482123,423553.100925,423553.100925
72,423557.876767,421569.023473,423557.876767,423557.876767
73,423562.653615,421570.563198,423562.653615,423562.653615
74,423567.431461,421572.101291,423567.431461,423567.431461
75,423572.210300,421573.637747,423572.210300,423572.210300
76,423576.990125,421575.172560,423576.990125,423576.990125
77,423581.770931,421576.705723,423581.770931,423581.770931
78,423586.552710,421578.237230,423586.552710,423586.552710
79,423591.335458,421579.767076,423591.335458,423591.335458
80,423596.119168,421581.295254,423596.119168,423596.119168
81,423600.903835,421582.821758,423600.903835,423600.903835
82,423605.689451,421584.346582,423605.689451,423605.689451
83,423610.476011,421585.869720,423610.476011,423610.476011
84,423615.263508,421587.391167,423615.263508,423615.263508
85,423620.051938,421588.910915,423620.051938,423620.051938
86,423624.841293,421590.428959,423624.841293,423624.841293
87,423629.631567,421591.945292,423629.631567,423629.631567
88,423634.422755,421593.459909,423634.422755,423634.422755
89,423639.214851,421594.972804,423639.214851,423639.214851
90,423644.007847,421596.483971,423644.007847,423644.007847
91,423648.801739,421597.993402,423648.801739,423648.801739
92,423653.596520,421599.501093,423653.596520,423653.596520
93,423658.392184,421601.007038,423658.392184,423658.392184
94,423663.188725,421602.511229,423663.188725,423663.188725
95,423667.986136,421604.013661,423667.986136,423667.986136
96,423672.784412,421605.514329,423672.784412,423672.784412
97,423677.583547,421607.013225,423677.583547,423677.583547
