Time,altitude via coords,altitude via ecc ano,altitude via true ano
210,6793408.675052,6797609.692316,6797609.692316
211,6793404.547310,6797613.820058,6797613.820058
212,6793400.422242,6797617.945125,6797617.945125
213,6793396.299854,6797622.067513,6797622.067513
214,6793392.180150,6797626.187217,6797626.187217
215,6793388.063137,6797630.304231,6797630.304231
216,6793383.948818,6797634.418549,6797634.418549
217,6793379.837200,6797638.530168,6797638.530168
218,6793375.728287,6797642.639081,6797642.639081
219,6793371.622085,6797646.745283,6797646.745283
220,6793367.518598,6797650.848769,6797650.848769
221,6793363.417833,6797654.949534,6797654.949534
222,6793359.319794,6797659.047573,6797659.047573
223,6793355.224487,6797663.142880,6797663.142880
224,6793351.131916,6797667.235451,6797667.235451
225,6793347.042088,6797671.325280,6797671.325280
226,6793342.955006,6797675.412362,6797675.412362
227,6793338.870676,6797679.496691,6797679.496691
228,6793334.789104,6797683.578263,6797683.578263
229,6793330.710295,6797687.657072,6797687.657072
230,6793326.634253,6797691.733114,6797691.733114
231,6793322.560985,6797695.806383,6797695.806383
232,6793318.490494,6797699.876873,6797699.876873
233,6793314.422787,6797703.944581,6797703.944581
234,6793310.357868,6797708.009499,6797708.009499
235,6793306.295743,6797712.071625,6797712.071625
236,6793302.236416,6797716.130951,6797716.130951
237,6793298.179894,6797720.187474,6797720.187474
238,6793294.126180,6797724.241188,6797724.241188
239,6793290.075280,6797728.292087,6797728.292087
240,6793286.027200,6797732.340167,6797732.340167
241,6793281.981944,6797736.385423,6797736.385423
242,6793277.939518,6797740.427849,6797740.427849
243,6793273.899927,6797744.467441,6797744.467441
244,6793269.863175,6797748.504193,6797748.504193
245,6793265.829268,6797752.538100,6797752.538100
246,6793261.798211,6797756.569156,6797756.569156
247,6793257.770009,6797760.597358,6797760.597358
248,6793253.744668,6797764.622699,6797764.622699
249,6793249.722815,6797768.644553,6797768.644553
250,6793245.703209,6797772.664158,6797772.664158
251,6793241.686480,6797776.680888,6797776.680888
252,6793237.672630,6797780.694737,6797780.694737
253,6793233.661667,6797784.705701,6797784.705701
